中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
胸椎,thoracic vertebrae,骨与骨性标志,第一章 运动系统,11,38,"2. 各部椎骨主要的形态特征 (1) 胸椎 thoracic vertebrae ( 图 1-6) : 椎体自上向下逐渐增大, 横断面呈心形。",,,图1-6,高
寰椎,atlas,其他,第一章 运动系统,12,39,"第 1 颈椎又名寰椎 atlas ( 图 1-8) , 呈环状, 无椎体、 棘突和关节突, 由前弓、 后弓及侧块组成。",,,"图1-7, 图1-8",高
椎体钩,uncus of vertebrate body,其他,第一章 运动系统,12,39,第 3~7 颈椎椎体上面侧缘向上突起称椎体钩 uncus of vertebrate body。,,,图1-7,高
横突孔,transverse foramen,骨与骨性标志,第一章 运动系统,12,39,"横突 有 孔 ,称横突孔 transverse foramen, 有椎动脉 ( 向上穿 第 6 至第 1 颈椎横突孔 ) 和椎静脉通过。","横突 有 孔 ,称横突孔 transverse foramen, 有椎动脉 ( 向上穿 第 6 至第 1 颈椎横突孔 ) 和椎静脉通过。",,图1-8,高
颈椎,cervical vertebrae,骨与骨性标志,第一章 运动系统,12,39,"(2) 颈椎 cervical vertebrae ( 图 1-7) : 椎体较小, 横 断面呈椭圆形。",,,"图1-6, 图1-7",高
齿突凹,dental fovea,骨与骨性标志,第一章 运动系统,12,39,"前弓 较短, 后面正中有齿突凹dental fovea, 与枢椎的齿突相关节。",,,"图1-7, 图1-8",高
岬,promontory,其他,第一章 运动系统 / 第八章 感觉器,"13, 248","40, 275","图1 -11 腰椎 ( 4 ) 骶骨 sacrum ( 图 1-12) : 由 5 块骶椎融合而成, 呈三角形, 底向上, 尖朝下, 盆面 ( 前面 ) 凹陷, 上 缘中份向前隆凸, 称岬promontory。",,,"图1-11, 图1-12, 图8-1, 图8-2",高
枢椎,axis,解剖方位,第一章 运动系统,13,40,"第一章 运动系统 13 关节面, 与枕髁相关节; 下面有圆形关节面与枢椎上关节面相关节。",,"第一章 运动系统 13 关节面, 与枕髁相关节;","图1-10, 图1-9",高
腰椎,lumbar vertebrae,骨与骨性标志,第一章 运动系统,13,40,"图1 -9 枢 椎(上 面) 图1 -10 隆 椎(上 面) (3) 腰椎 lumbar vertebrae ( 图 1-11) : 椎体粗壮, 横断面呈肾形。",,,"图1-10, 图1-11, 图1-12, 图1-9",高
隆椎,prominent vertebrae,骨与骨性标志,第一章 运动系统,13,40,"第 7 颈椎又名隆椎 prominent vertebrae ( 图 1-10) , 棘突长, 末端不分叉, 活体易于触及, 常作为计 数椎骨序数的标志。",,,"图1-10, 图1-11, 图1-9",高
骶管裂孔,sacral hiatus,骨与骨性标志,第一章 运动系统,13,40,"骶前、 后孔均与骶管相通, 骶管上端通连椎管, 下端的裂孔称骶管裂孔sacral hiatus, 裂孔两侧 有向下突出的骶角 sacral horn, 骶管麻醉常以骶角作为标志。","骶前、 后孔均与骶管相通, 骶管上端通连椎管, 下端的裂孔称骶管裂孔sacral hiatus, 裂孔两侧 有向下突出的骶角 sacral horn, 骶管麻醉常以骶角作为标志。",,"图1-10, 图1-11, 图1-12, 图1-9",高
骶角,sacral horn,其他,第一章 运动系统,13,40,"骶前、 后孔均与骶管相通, 骶管上端通连椎管, 下端的裂孔称骶管裂孔sacral hiatus, 裂孔两侧 有向下突出的骶角 sacral horn, 骶管麻醉常以骶角作为标志。","骶前、 后孔均与骶管相通, 骶管上端通连椎管, 下端的裂孔称骶管裂孔sacral hiatus, 裂孔两侧 有向下突出的骶角 sacral horn, 骶管麻醉常以骶角作为标志。",,"图1-10, 图1-11, 图1-12, 图1-9",高
骶骨,sacrum,骨与骨性标志,第一章 运动系统,13,40,"图1 -11 腰椎 ( 4 ) 骶骨 sacrum ( 图 1-12) : 由 5 块骶椎融合而成, 呈三角形, 底向上, 尖朝下, 盆面 ( 前面 ) 凹陷, 上 缘中份向前隆凸, 称岬promontory。",,,"图1-10, 图1-11, 图1-12",高
齿突,dens,骨与骨性标志,第一章 运动系统,13,40,"第 2 颈椎又名枢椎 axis ( 图 1-9) , 椎体向上伸出齿突dens, 与寰椎齿突凹相关节。",,,"图1-10, 图1-11, 图1-9",高
剑突,xiphoid process,骨与骨性标志,第一章 运动系统,14,41,"(二) 胸 骨 胸骨 sternum ( 图 1-13) 为长方形扁骨, 位于胸前壁正中, 前凸后凹, 自上而下可分柄、 体和剑突三 部分。","(二) 胸 骨 胸骨 sternum ( 图 1-13) 为长方形扁骨, 位于胸前壁正中, 前凸后凹, 自上而下可分柄、 体和剑突三 部分。",,图1-13,高
尾骨,coccyx,骨与骨性标志,第一章 运动系统,14,41,14 第一章 运动系统 图1 -12 骶骨和尾骨 (5) 尾骨 coccyx ( 图 1-1 2 ):由 3~4 块退化的尾椎融合而成。,,14 第一章 运动系统 图1 -12 骶骨和尾骨 (5) 尾骨 coccyx ( 图 1-1 2 ):由 3~4 块退化的尾椎融合而成。,"图1-1, 图1-12",高
胸骨,sternum,骨与骨性标志,第一章 运动系统,14,41,"(二) 胸 骨 胸骨 sternum ( 图 1-13) 为长方形扁骨, 位于胸前壁正中, 前凸后凹, 自上而下可分柄、 体和剑突三 部分。","(二) 胸 骨 胸骨 sternum ( 图 1-13) 为长方形扁骨, 位于胸前壁正中, 前凸后凹, 自上而下可分柄、 体和剑突三 部分。",,图1-13,高
胸骨体,body of sternum,骨与骨性标志,第一章 运动系统,14,41,"胸骨体body of sternum 呈 长方形, 外侧缘连接第 2~7 肋软骨。","胸骨体body of sternum 呈 长方形, 外侧缘连接第 2~7 肋软骨。",,"图1-1, 图1-12, 图1-13",高
胸骨柄,manubrium sterni,骨与骨性标志,第一章 运动系统,14,41,"胸骨柄 manubrium sterni 上宽下窄, 上缘中份为颈静脉切迹 jugular notch, 两侧有锁切迹与锁骨 连结。","胸骨柄 manubrium sterni 上宽下窄, 上缘中份为颈静脉切迹 jugular notch, 两侧有锁切迹与锁骨 连结。",,图1-13,高
胸骨角,sternal angle,骨与骨性标志,第一章 运动系统,14,41,"柄与体连接处微向前突, 称胸骨角sternal angle, 可在体表扪及, 两侧平对第 2 肋, 是计数肋的重要标志。","柄与体连接处微向前突, 称胸骨角sternal angle, 可在体表扪及, 两侧平对第 2 肋, 是计数肋的重要标志。",,图1-13,高
颈静脉切迹,jugular notch,脉管结构,第一章 运动系统,14,41,"胸骨柄 manubrium sterni 上宽下窄, 上缘中份为颈静脉切迹 jugular notch, 两侧有锁切迹与锁骨 连结。","胸骨柄 manubrium sterni 上宽下窄, 上缘中份为颈静脉切迹 jugular notch, 两侧有锁切迹与锁骨 连结。",,图1-13,高
肋,rib,骨与骨性标志,第一章 运动系统,15,42,"第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。",,"第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。",图1-14,高
肋体,shaft of rib,骨与骨性标志,第一章 运动系统,15,42,"肋体shaft of rib 长而扁, 分内、 外两面和上、 下两缘。",,,"图1-13, 图1-14",高
肋头,costal head,其他,第一章 运动系统,15,42,"后端膨大, 称肋头costal head, 有关节面与胸椎上、 下肋凹相关节。",,,"图1-13, 图1-14",高
肋弓,costal arch,其他,第一章 运动系统,15,42,"肋前端借肋软骨与上位肋软骨连结, 形成肋弓costal arch。","肋前端借肋软骨与上位肋软骨连结, 形成肋弓costal arch。",,图1-14,高
肋沟,costal groove,骨与骨性标志,第一章 运动系统,15,42,"内面近下缘处有肋沟 costal groove, 肋间神经和血管走行其中。",,,"图1-13, 图1-14",高
肋结节,costal tubercle,骨与骨性标志,第一章 运动系统,15,42,"颈外侧的粗糙突起, 称肋结 节 costal tubercle, 与相应的胸椎横突肋凹相关节。",,,"图1-13, 图1-14",高
肋角,costal angle,其他,第一章 运动系统,15,42,体的后份急转处称肋角 costal angle。,,,"图1-13, 图1-14",高
肋软骨,costal cartilage,骨与骨性标志,第一章 运动系统,15,42,"第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。","2. 肋软骨 costal cartilage 位于各肋骨前端, 由透明软骨构成, 终身不骨化。","第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。","图1-13, 图1-14",高
肋颈,costal neck,其他,第一章 运动系统,15,42,"肋头外侧稍细, 称肋颈costal neck。",,,"图1-13, 图1-14",高
肋骨,costal bone,骨与骨性标志,第一章 运动系统,15,42,"第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。",,"第一章 运动系统 15 (三) 肋 肋 rib 由肋骨与肋软骨组成, 共 12 对。",图1-14,高
卵圆孔,foramen ovale,骨与骨性标志,第一章 运动系统,16,43,"大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。","大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。",,图1-15,高
圆孔,foramen rotundum,骨与骨性标志,第一章 运动系统,16,43,"大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。","大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。",,图1-15,高
垂体窝,hypophysial fossa,骨与骨性标志,第一章 运动系统,16,43,"体上面呈马鞍状, 称蝶鞍, 中央的凹陷为垂体窝hypophysial fossa。",,,"图1-16, 图1-17, 图1-18",高
大翼,greater wing,其他,第一章 运动系统,16,43,"图1 -16 筛骨 3. 蝶 骨 sphenoid bone ( 图 1-17、图1-18) 形似展翅的蝴蝶 , 居颅底中央, 分体、 大翼、 小翼和 翼突四部: 1体: 为中间部的立方形骨块, 内含蝶窦, 窦分隔为左右两半, 分别向前开口于蝶筛隐窝。","图1 -16 筛骨 3. 蝶 骨 sphenoid bone ( 图 1-17、图1-18) 形似展翅的蝴蝶 , 居颅底中央, 分体、 大翼、 小翼和 翼突四部: 1体: 为中间部的立方形骨块, 内含蝶窦, 窦分隔为左右两半, 分别向前开口于蝶筛隐窝。",,"图1-16, 图1-17, 图1-18",高
小翼,lesser wing,其他,第一章 运动系统,16,43,"图1 -16 筛骨 3. 蝶 骨 sphenoid bone ( 图 1-17、图1-18) 形似展翅的蝴蝶 , 居颅底中央, 分体、 大翼、 小翼和 翼突四部: 1体: 为中间部的立方形骨块, 内含蝶窦, 窦分隔为左右两半, 分别向前开口于蝶筛隐窝。","图1 -16 筛骨 3. 蝶 骨 sphenoid bone ( 图 1-17、图1-18) 形似展翅的蝴蝶 , 居颅底中央, 分体、 大翼、 小翼和 翼突四部: 1体: 为中间部的立方形骨块, 内含蝶窦, 窦分隔为左右两半, 分别向前开口于蝶筛隐窝。",,"图1-15, 图1-16, 图1-17, 图1-18",高
棘孔,foramen spinosum,骨与骨性标志,第一章 运动系统,16,43,"大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。","大翼根部自前内向后外可见圆孔 foramen rotundum、卵圆孔 foramen ovale 和棘孔 foramen spinosum, 分别通过重要的神经和血管。",,图1-15,高
筛骨,ethmoid bone,骨与骨性标志,第一章 运动系统,16,43,"其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。",,"其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。","图1-15, 图1-16",高
蝶骨,sphenoid bone,骨与骨性标志,第一章 运动系统,16,43,"其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。","图1 -16 筛骨 3. 蝶 骨 sphenoid bone ( 图 1-17、图1-18) 形似展翅的蝴蝶 , 居颅底中央, 分体、 大翼、 小翼和 翼突四部: 1体: 为中间部的立方形骨块, 内含蝶窦, 窦分隔为左右两半, 分别向前开口于蝶筛隐窝。","其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。","图1-15, 图1-16, 图1-17, 图1-18",高
颅,skull,骨与骨性标志,第一章 运动系统,16,43,16 第一章 运动系统 三、 颅骨 颅骨有 23 块 ( 中耳的 3 对听小骨未计入 ) 。,,16 第一章 运动系统 三、 颅骨 颅骨有 23 块 ( 中耳的 3 对听小骨未计入 ) 。,"图1-15, 图1-16, 图1-17, 图1-18",高
颅盖,calvaria,其他,第一章 运动系统,16,43,"颅腔的顶为穹窿形的颅盖 calvaria, 由额骨、 顶骨和枕 骨构成。",,"颅腔的顶为穹窿形的颅盖 calvaria, 由额骨、 顶骨和枕 骨构成。",图1-15,高
额骨,frontal bone,骨与骨性标志,第一章 运动系统,16,43,"其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。","1. 额 骨 frontal bone ( 图1-15) 位于颅的前上 方 , 分三部: 1额鳞: 是贝壳状的扁骨, 中央隆起称额 结节, 内含空腔称额窦, 开口于鼻腔;","其中不成对的有额骨、 筛骨、 蝶骨和枕骨, 成对的有颞骨和顶骨, 参与构成颅腔。","图1-15, 图1-16",高
下颌窝,mandibular fossa,骨与骨性标志,第一章 运动系统,17,44,"颧突根 部下面的深窝称下颌窝 mandibular fossa, 窝前缘的横行突起, 称关节结节 articular tubercle。",,,"图1-19, 图1-20",高
乳突,mastoid process,骨与骨性标志,第一章 运动系统,17,44,"3岩 部(锥 部)petrous part (pyramid) : 呈三棱锥形, 尖指向前内, 紧邻蝶骨体, 底与颞鳞、 乳突部相接。","3岩 部(锥 部)petrous part (pyramid) : 呈三棱锥形, 尖指向前内, 紧邻蝶骨体, 底与颞鳞、 乳突部相接。",,图1-19,高
关节结节,articular tubercle,骨与骨性标志,第一章 运动系统,17,44,"颧突根 部下面的深窝称下颌窝 mandibular fossa, 窝前缘的横行突起, 称关节结节 articular tubercle。",,,图1-20,高
内耳门,internal acoustic pore,解剖方位,第一章 运动系统,17,44,"后面中央部可见内耳门 internal acoustic pore, 通入内耳道。","后面中央部可见内耳门 internal acoustic pore, 通入内耳道。",,"图1-17, 图1-18, 图1-19, 图1-20",高
岩部(锥部,) petrous part (pyramid),其他,第一章 运动系统,17,44,"3岩 部(锥 部)petrous part (pyramid) : 呈三棱锥形, 尖指向前内, 紧邻蝶骨体, 底与颞鳞、 乳突部相接。","3岩 部(锥 部)petrous part (pyramid) : 呈三棱锥形, 尖指向前内, 紧邻蝶骨体, 底与颞鳞、 乳突部相接。",,"图1-17, 图1-18, 图1-19, 图1-20",高
眶上裂,superior orbital fissure,解剖方位,第一章 运动系统,"17, 23","44, 50",小翼与大翼间的裂隙为眶上裂 superior orbital fissure。,"外侧壁与上壁交界处的后份有眶上裂superior orbital fissure, 向后通入颅中窝。",,"图1-17, 图1-18, 图1-19, 图1-20, 图1-28, 图1-29",高
翼突,pterygoid process,骨与骨性标志,第一章 运动系统,17,44,"4翼突 pterygoid process: 自体与大翼连接处下垂, 向后敞开形成内侧板和外侧板。","4翼突 pterygoid process: 自体与大翼连接处下垂, 向后敞开形成内侧板和外侧板。",,"图1-17, 图1-18, 图1-19, 图1-20",高
翼管,pterygoid canal,骨与骨性标志,第一章 运动系统,17,44,"翼突根部呈矢状贯 通的细管, 称翼管pterygoid canal, 向前通入翼腭窝。","翼突根部呈矢状贯 通的细管, 称翼管pterygoid canal, 向前通入翼腭窝。",,"图1-17, 图1-18, 图1-19, 图1-20",高
茎乳孔,stylomastoid foramen,骨与骨性标志,第一章 运动系统,17,44,"岩部后份肥厚的 突起, 位于外耳门后方, 称乳突 mastoid process, 其内的 含气小腔隙称乳突小房, 茎突根部后方的孔为茎乳孔 stylomastoid foramen。","岩部后份肥厚的 突起, 位于外耳门后方, 称乳突 mastoid process, 其内的 含气小腔隙称乳突小房, 茎突根部后方的孔为茎乳孔 stylomastoid foramen。",,图1-19,高
茎突,styloid process,骨与骨性标志,第一章 运动系统,"17, 28","44, 55","颈动脉管外口后方的深窝为颈静脉窝, 后外 侧的细长骨突称茎突 styloid process。",,,"图1-19, 图1-39",高
视神经管,optic canal,神经结构,第一章 运动系统,17,44,小翼与体的交界处可见视神经管optic canal。,,,"图1-17, 图1-18",高
