中文,English,分类,章节,书页,PDF页,解释,位置,功能,关联图,置信度
骨内膜,endosteum,骨与骨性标志,第一章 运动系统,8,35,"骨髓腔和骨松质的网眼也衬有一 层菲薄的结缔组织膜, 称骨内膜endosteum。",,,图1-2,高
骨密质,compact bone,骨与骨性标志,第一章 运动系统,8,35,"骨密质 compact bone 结构致密, 抗压、 抗扭曲性强, 分布于 骨的表面。","骨密质 compact bone 结构致密, 抗压、 抗扭曲性强, 分布于 骨的表面。",,图1-3,高
骨小梁,bone trabecula,骨与骨性标志,第一章 运动系统,8,35,"骨松质 spongy bone 呈海绵状, 由相互交织的骨小梁 bone trabecula 排列而成, 配布于骨的内部。",,,"图1-2, 图1-3",高
骨松质,spongy bone,骨与骨性标志,第一章 运动系统,8,35,"骨松质 spongy bone 呈海绵状, 由相互交织的骨小梁 bone trabecula 排列而成, 配布于骨的内部。",,,图1-3,高
骨膜,periosteum,骨与骨性标志,第一章 运动系统,8,35,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,图1-3,高
骨质,osseous substance,骨与骨性标志,第一章 运动系统,8,35,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,图1-3,高
骨髓,bone marrow,骨与骨性标志,第一章 运动系统,8,35,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,,( 三 ) 骨的构造 骨由骨质、 骨膜和骨髓构成 ( 图 1-3 )。,图1-3,高
髁,condyle,骨与骨性标志,第一章 运动系统,8,35,4. 骨端的膨大 骨端圆形膨大称 头 head 或小头 capitulum; 头下略细部分称颈 neck; 椭圆形膨大 称髁 condyle; 髁的突出处称上髁epicondyle。,,,图1-3,高
黄骨髓,yellow bone marrow,骨与骨性标志,第一章 运动系统,8,35,"3. 骨 髓 bone marrow 为充填于骨髓腔和骨松质间隙内的软组织 , 分为红骨髓和黄骨髓。",,,"图1-2, 图1-3",高
关节突,articular process,骨与骨性标志,第一章 运动系统,11,38,3 关节突 articular process 2 对。,,,图1-6,高
棘突,spinous process,骨与骨性标志,第一章 运动系统,11,38,"由椎 弓发出 7 个突起: 1棘突spinous process 1 个, 由椎弓后面正中伸向后方或后下方, 尖端可在体表扪到。","由椎 弓发出 7 个突起: 1棘突spinous process 1 个, 由椎弓后面正中伸向后方或后下方, 尖端可在体表扪到。",,图1-6,高
椎体,vertebral body,其他,第一章 运动系统,11,38,1. 椎骨的一般形态 椎骨 vertebrae 由前方短圆柱形的椎体和后方板状的椎弓组成。,"椎体 vertebral body 是椎骨负重的主要部分, 内部充满松质, 表面的密质较薄, 上、 下面粗糙, 借椎 间盘与邻近椎骨相接。",,图1-6,高
椎孔,vertebral foramen,骨与骨性标志,第一章 运动系统,11,38,"椎体后面微凹陷, 与椎弓共同围成椎孔vertebral foramen。",,,图1-6,高
椎弓,vertebral arch,其他,第一章 运动系统,11,38,1. 椎骨的一般形态 椎骨 vertebrae 由前方短圆柱形的椎体和后方板状的椎弓组成。,"椎弓 vertebral arch 为弓形骨板, 其紧连椎体的缩窄部分称椎弓根pedicle of vertebral arch, 根的上、 下缘分别称椎上、 下切迹。",,图1-6,高
椎弓板,lamina of vertebral arch,其他,第一章 运动系统,11,38,"椎弓根向后内扩展变宽, 称椎弓板lamina of vertebral arch, 两侧椎弓板于中线会合。",,,图1-6,高
椎弓根,pedicle of vertebral arch,其他,第一章 运动系统,11,38,"椎弓 vertebral arch 为弓形骨板, 其紧连椎体的缩窄部分称椎弓根pedicle of vertebral arch, 根的上、 下缘分别称椎上、 下切迹。","椎弓 vertebral arch 为弓形骨板, 其紧连椎体的缩窄部分称椎弓根pedicle of vertebral arch, 根的上、 下缘分别称椎上、 下切迹。",,图1-6,高
椎管,vertebral canal,骨与骨性标志,第一章 运动系统,11,38,"各椎孔上下贯通, 构 成容纳脊髓的椎管 vertebral canal。","各椎孔上下贯通, 构 成容纳脊髓的椎管 vertebral canal。",,图1-6,高
椎间孔,intervertebral foramen,骨与骨性标志,第一章 运动系统,11,38,"相邻椎骨的上、 下切迹共同围成椎间孔intervertebral foramen, 有脊神经和 血管通过。","相邻椎骨的上、 下切迹共同围成椎间孔intervertebral foramen, 有脊神经和 血管通过。",,图1-6,高
椎骨,vertebrae,骨与骨性标志,第一章 运动系统,11,38,"9~20 体 1 16~20 下端 1 16~20 腓骨 上端 1 8 22~24 体 1 20~24 下端 1 20~24 二、 躯干骨 躯干骨包括 24 块椎骨、 1 块骶骨、 1 块尾骨、 1 块胸骨和 12 对肋骨, 参与构成脊柱、 骨性胸廓和 骨盆。",,"9~20 体 1 16~20 下端 1 16~20 腓骨 上端 1 8 22~24 体 1 20~24 下端 1 20~24 二、 躯干骨 躯干骨包括 24 块椎骨、 1 块骶骨、 1 块尾骨、 1 块胸骨和 12 对肋骨, 参与构成脊柱、 骨性胸廓和 骨盆。",图1-6,高
横突,transverse process,骨与骨性标志,第一章 运动系统,11,38,"2横突 transverse process 1 对, 伸向两侧。",,,图1-6,高
